Index,Electrolyte,Cathode,Difference in TEC,Average TEC
91,I1Li6P1S5,Li2Ni1O2,0.491232584,0.972537598
92,Li1P1S4Zn1,Li2Ni1O2,0.008004545,0.722919034
93,Li1Nb1Rb2S4,Li2Ni1O2,0.169335824,0.642253394
94,As1Li1S2,Li2Ni1O2,0.039608694,0.746725653
95,Li1Rb1S1,Li2Ni1O2,0.783932723,1.118887668
96,Li1O4Rb1S1,Li2Ni1O2,0.085982659,0.683929977
97,Ge1Li2Pb1S4,Li2Ni1O2,0.035442041,0.744642327
98,Au1Li3S2,Li2Ni1O2,0.561729584,1.007786098
99,F1Li1Ni1O4S1,Li2Ni1O2,0.125970205,0.663936204
100,As1Li3S3,Li2Ni1O2,0.207374898,0.830608755
101,Au1Li1S1,Li2Ni1O2,0.368076641,0.910959627
102,Li1Na1S1,Li2Ni1O2,0.606947968,1.03039529
103,F1Li1O4S1Zn1,Li2Ni1O2,0.066294281,0.693774166
104,H2Li2O5S1,Li2Ni1O2,0.099514487,0.677164062
105,As1Eu1Li1S3,Li2Ni1O2,0.013970673,0.71993597
106,H1Li1S1,Li2Ni1O2,0.324218473,0.889030543
107,Li1S6Ti3,Li2Ni1O2,0.234735671,0.609553471
108,Li9N1S3,Li2Ni1O2,0.388535508,0.92118906
109,K1Li1O4S1,Li2Ni1O2,0.102372969,0.675734822
110,Li1Mo1S2,Li2Ni1O2,0.28994412,0.581949246
111,F1Fe1Li1O4S1,Li2Ni1O2,0.157002673,0.64841997
112,Li7P3S11,Li2Ni1O2,0.044778618,0.749310615
113,Li1S2V1,Li2Ni1O2,0.243867827,0.604987393
114,Cs1H4Li1O5S1,Li2Ni1O2,0.111856201,0.782849407
115,Ga2Ge1Li2S6,Li2Ni1O2,0.020345646,0.716748483
116,Li1O5S2Ti2Y2,Li2Ni1O2,0.312441203,0.570700705
117,H4K1Li1N2O6S2,Li2Ni1O2,0.124663067,0.664589773
118,Cs1H4Li1N2O6S2,Li2Ni1O2,0.089402552,0.68222003
119,Li2O4S1,Li2Ni1O2,0.159738895,0.647051859
120,Li2S1,Li2Ni1O2,0.444579833,0.949211223
121,H5Li1N2O4S1,Li2Ni1O2,0.183499909,0.81867126
122,Li2O5S2Ti2Y2,Li2Ni1O2,0.298926646,0.577457983
123,C1F3Li1O3S1,Li2Ni1O2,0.141434009,0.656204302
124,Eu1Li1O8S2,Li2Ni1O2,0.24291571,0.605463451
125,Li1S1,Li2Ni1O2,0.865799191,1.159820902
126,Li1Nb1S2,Li1Ni1O2,0.156257832,0.48930993
127,Cs2Li1Nb1S4,Li1Ni1O2,0.008210925,0.571544309
128,Al1Li1S2,Li1Ni1O2,0.121892046,0.628384869
129,Li2S3Te1,Li1Ni1O2,0.285514912,0.710196302
130,F3La2Li1O8S2,Li1Ni1O2,0.020293715,0.577585704
131,B2Li2S5,Li1Ni1O2,0.058132397,0.538372648
132,Au1Li1O14S4,Li1Ni1O2,0.017084318,0.558896687
133,Cr1Li1S2,Li1Ni1O2,0.046241181,0.544318256
134,Er1Li1S2,Li1Ni1O2,0.170452451,0.652665072
135,F1Li1O3S1,Li1Ni1O2,0.094831443,0.614854568
136,Li1S2Ti1,Li1Ni1O2,0.0524157,0.541230996
137,Ho1Li1S2,Li1Ni1O2,0.099593097,0.617235395
138,Dy1Li1S2,Li1Ni1O2,0.076553543,0.605715618
139,Li1S2Y1,Li1Ni1O2,0.003243915,0.565816889
140,Cs2Li1S4V1,Li1Ni1O2,0.035708572,0.585293132
141,B1Li3S3,Li1Ni1O2,0.14943223,0.642154961
142,B1Cs1Li2S3,Li1Ni1O2,0.092527851,0.613702772
143,Li1Rb2S4V1,Li1Ni1O2,0.025595593,0.580236643
144,Li2S3U1,Li1Ni1O2,0.01312394,0.574000816
145,Cd1Ge1Li2S4,Li1Ni1O2,0.184418337,0.659648015
146,Cs1Li1O4S1,Li1Ni1O2,0.080879919,0.607878806
147,Li3P1S4,Li1Ni1O2,0.242850778,0.688864235
148,Li1Rb2S4Ta1,Li1Ni1O2,0.040908079,0.546984807
149,K1Li1S1,Li1Ni1O2,0.895061367,1.01496953
150,B3Ba1Li1S6,Li1Ni1O2,0.038675256,0.548101218
151,B1Ba1Li1S3,Li1Ni1O2,0.020314679,0.577596186
152,H1Li1O4S1,Li1Ni1O2,0.007290931,0.563793381
153,Eu1Ge1Li2S4,Li1Ni1O2,0.141603267,0.63824048
154,I1Li6P1S5,Li1Ni1O2,0.650715044,0.892796368
155,Li1P1S4Zn1,Li1Ni1O2,0.151477915,0.643177804
156,Li1Nb1Rb2S4,Li1Ni1O2,0.009853364,0.562512164
157,As1Li1S2,Li1Ni1O2,0.199091154,0.666984423
158,Li1Rb1S1,Li1Ni1O2,0.943415183,1.039146438
159,Li1O4Rb1S1,Li1Ni1O2,0.073499801,0.604188747
160,Ge1Li2Pb1S4,Li1Ni1O2,0.194924501,0.664901097
